,x_labels,numbers_of_receptors,receptor_density
0,Left-Cerebellum-Cortex,135578.36245843722,2.530958080541316
1,Left-Thalamus-Proper,100237.47290459275,12.161789966584902
2,Left-Caudate,178006.85458968906,49.1053391971556
3,Left-Putamen,337011.91473054886,61.701192737193125
4,Left-Pallidum,53071.51238489151,26.926185887819134
5,Left-Hippocampus,43678.1550329593,10.851715536138956
6,Left-Amygdala,27770.547254025005,15.969262365741809
7,Left-Accumbens-area,15176.03668498993,40.042313153007726
8,Right-Cerebellum-Cortex,126563.02793721342,2.3840232809149606
9,Right-Thalamus-Proper,108338.50830208091,13.769510460355988
10,Right-Caudate,188161.17592648417,52.676700987257604
11,Right-Putamen,356591.29053783417,66.36726047605326
12,Right-Pallidum,66304.57735919952,31.664077057879428
13,Right-Hippocampus,49174.5292889704,11.71938257601773
14,Right-Amygdala,27758.275334090926,17.635498941607956
15,Right-Accumbens-area,19800.426052093506,39.2087644595911
16,LH_Vis_1,46432.2952931677,17.01439915469685
17,LH_Vis_2,57648.663764560595,12.620110281208536
18,LH_Vis_3,59874.482911758125,17.395259416547972
19,LH_Vis_4,42714.57289454108,9.699040166789528
20,LH_Vis_5,42344.57996214228,12.32380092029752
21,LH_Vis_6,45571.7421606672,19.359278742849277
22,LH_Vis_7,37580.160708365496,10.817547699587074
23,LH_Vis_8,40977.416936350055,9.17131086310431
24,LH_Vis_9,37957.46581493365,13.634147203639959
25,LH_SomMot_1,67360.71306221234,14.25020373645279
26,LH_SomMot_2,33940.744647979736,19.164734414443668
27,LH_SomMot_3,56402.312679282855,16.6280402945999
28,LH_SomMot_4,24736.148212502245,7.634613645834026
29,LH_SomMot_5,40264.57582337968,7.8244414736454875
30,LH_SomMot_6,65413.22327253595,9.367495814483167
31,LH_DorsAttn_Post_1,132323.78516579978,13.6023627843133
32,LH_DorsAttn_Post_2,27255.673277944326,10.292927975054504
33,LH_DorsAttn_Post_3,55713.454681396484,10.209539065676468
34,LH_DorsAttn_Post_4,19337.27990658395,9.596664966046625
35,LH_DorsAttn_Post_5,37992.482781268656,14.91070752797043
36,LH_DorsAttn_Post_6,17892.397871314082,8.540524043586673
37,LH_DorsAttn_PrCv_1,47949.104312640615,12.26319803392343
38,LH_DorsAttn_FEF_1,49531.20238232333,9.578650625086702
39,LH_SalVentAttn_ParOper_1,38168.300734221935,12.727009247823252
40,LH_SalVentAttn_FrOperIns_1,74711.94654035801,21.407434538784532
41,LH_SalVentAttn_FrOperIns_2,70230.62714540958,22.5170333906411
42,LH_SalVentAttn_PFCl_1,52478.94651710987,13.868643371329247
43,LH_SalVentAttn_Med_1,71725.8414093107,17.283335279351977
44,LH_SalVentAttn_Med_2,48015.76623430615,19.267963978453512
45,LH_SalVentAttn_Med_3,38538.78885832196,13.71487147982988
46,LH_Limbic_OFC_1,149382.90597220557,20.28005782951474
47,LH_Limbic_TempPole_1,191047.17387003917,15.166085089310087
48,LH_Limbic_TempPole_2,84756.76607869612,13.526454848180038
49,LH_Cont_Par_1,47489.278298205696,11.256050793601728
50,LH_Cont_PFCl_1,76527.48655879498,13.44238302455559
51,LH_Cont_pCun_1,21271.679038418457,14.741288314912305
52,LH_Cont_Cing_1,19262.123887230642,13.256795517708632
53,LH_Default_Temp_1,117997.03870413546,15.81093912691082
54,LH_Default_Temp_2,57608.072678267956,13.507168271575136
55,LH_Default_Par_1,50688.39148448408,13.189797419850137
56,LH_Default_Par_2,108288.84620634466,12.04145960261811
57,LH_Default_PFC_1,57257.419685265515,19.117669343995164
58,LH_Default_PFC_2,83357.5099298954,14.96812891540589
59,LH_Default_PFC_3,113711.33539485931,20.818626033478452
60,LH_Default_PFC_4,95928.50335723488,16.146861362941404
61,LH_Default_PFC_5,110108.34114060551,13.370776094791196
62,LH_Default_PFC_6,28770.854259729385,11.844732095401147
63,LH_Default_PFC_7,32354.64258122444,11.938982502296842
64,LH_Default_pCunPCC_1,30691.232489873655,19.074724978168835
65,LH_Default_pCunPCC_2,109471.42311793892,20.788344686277803
66,RH_Vis_1,84236.35195817845,17.031207431900214
67,RH_Vis_2,86970.14011765039,15.560948312336802
68,RH_Vis_3,106175.16882576002,13.375556667392292
69,RH_Vis_4,66998.23621025169,9.779336769851364
70,RH_Vis_5,53883.287512388546,16.744340432687554
71,RH_Vis_6,62941.23307584366,17.272566705774878
72,RH_Vis_7,39189.5518956827,9.37100714865679
73,RH_Vis_8,47480.78717860347,10.850271293099512
74,RH_SomMot_1,86948.43925703457,16.81462758790071
75,RH_SomMot_2,45764.294122219086,22.33494100645148
76,RH_SomMot_3,43611.81509518623,18.355141033327538
77,RH_SomMot_4,25728.32814401388,9.67958169451237
78,RH_SomMot_5,13782.08562888205,10.650761691562636
79,RH_SomMot_6,32575.752557782456,8.54558041914545
80,RH_SomMot_7,14606.352708399296,8.016659005707627
81,RH_SomMot_8,55241.876668891404,10.051287603510081
82,RH_DorsAttn_Post_1,82454.407949707,14.637743289491747
83,RH_DorsAttn_Post_2,34696.41266779322,11.466098039587978
84,RH_DorsAttn_Post_3,34676.9457001253,12.674322258817728
85,RH_DorsAttn_Post_4,45829.44429365639,8.6080849537296
86,RH_DorsAttn_Post_5,32291.03457833128,10.349690569977975
87,RH_DorsAttn_PrCv_1,67936.79215060221,16.037958486922147
88,RH_DorsAttn_FEF_1,43155.24012720585,11.031503100001496
89,RH_SalVentAttn_TempOccPar_1,48135.82124136388,16.41180403728738
90,RH_SalVentAttn_TempOccPar_2,71000.39744734764,17.414863244382545
